position,distance
1.100000000000000089e+00,8.620220920000001286e-01
1.111998999999999960e+00,2.916099280000000182e-01
1.123998999999999970e+00,8.875042600000000448e-01
1.135998000000000063e+00,8.988627140000000626e-01
1.147999999999999909e+00,8.336295474999999566e-01
1.159999999999999920e+00,8.641721240000000970e-01
1.172001999999999988e+00,9.341874450000000607e-01
1.183999000000000024e+00,9.049003580000001268e-01
1.195997999999999895e+00,9.466951999999999590e-01
1.207994999999999930e+00,9.562298049999999883e-01
1.220002000000000031e+00,9.828687159999999201e-01
1.231997000000000009e+00,9.949510200000000193e-01
1.244000999999999912e+00,9.133910499999999821e-01
1.256000999999999923e+00,1.006208602000000063e+00
1.268002999999999991e+00,1.031574414000000051e+00
1.280000000000000027e+00,1.043884239999999908e+00
1.291998999999999898e+00,9.912056274999999639e-01
1.304003999999999941e+00,8.166156625000000613e-01
1.315998000000000001e+00,1.046983529999999885e+00
1.327998000000000012e+00,3.003976359999999679e-01
1.339995000000000047e+00,7.555474679999999443e-01
1.351996999999999893e+00,1.095142386000000245e+00
1.364001000000000019e+00,1.129322492000000011e+00
1.375998000000000054e+00,1.140866514000000054e+00
1.387998000000000065e+00,8.663410239999999041e-01
1.399999999999999911e+00,7.165202779999999549e-01
1.412001999999999979e+00,1.085734857999999914e+00
1.423999000000000015e+00,8.206285079999998677e-01
1.435998000000000108e+00,1.201466091999999986e+00
1.447997999999999896e+00,1.213493447999999919e+00
1.459999999999999964e+00,1.225077729999999976e+00
1.472002000000000033e+00,1.221898836000000044e+00
1.483999000000000068e+00,1.248701404000000181e+00
1.495997999999999939e+00,1.260601254000000004e+00
1.507997999999999950e+00,1.273674445999999794e+00
1.519997000000000043e+00,1.285925312500000084e+00
1.532002000000000086e+00,1.297637731999999877e+00
1.543995999999999924e+00,1.309468073999999982e+00
1.555995999999999935e+00,1.321420234000000082e+00
1.567998000000000003e+00,1.333205626000000033e+00
1.580001999999999907e+00,1.345332519999999921e+00
1.591998999999999942e+00,1.358357127999999969e+00
1.603995999999999977e+00,1.370381361999999825e+00
1.615998000000000046e+00,1.382112516000000069e+00
1.627998000000000056e+00,1.394061310000000109e+00
1.639999999999999902e+00,1.405745465999999944e+00
1.651998999999999995e+00,1.417629430000000079e+00
1.663999000000000006e+00,1.430282303999999893e+00
1.676001000000000074e+00,1.442816099999999935e+00
1.687998000000000109e+00,1.454969215999999843e+00
