position,distance
1.000000000000000000e+00,1.148786293999999986e+00
1.015997999999999957e+00,1.148921905999999993e+00
1.032002000000000086e+00,1.149033597999999934e+00
1.048000000000000043e+00,1.149141839999999970e+00
1.064000999999999975e+00,1.149263866000000078e+00
1.080001999999999907e+00,1.149366538000000215e+00
1.096001000000000003e+00,1.149467774000000109e+00
1.111998999999999960e+00,1.149573705999999973e+00
1.127999999999999892e+00,1.149673175999999852e+00
1.143998999999999988e+00,1.149765796000000062e+00
1.159999999999999920e+00,1.149851405999999798e+00
1.175996000000000041e+00,1.149964527999999930e+00
1.191999000000000031e+00,1.150083340000000121e+00
1.208002999999999938e+00,1.150192745999999877e+00
1.224000999999999895e+00,1.150318246000000100e+00
1.239999999999999991e+00,1.150438440000000062e+00
1.256000999999999923e+00,1.150569525999999954e+00
1.272003999999999913e+00,1.150708551999999774e+00
1.288003000000000009e+00,1.150808144000000199e+00
1.304000999999999966e+00,1.150917013999999794e+00
1.320001999999999898e+00,1.151011804000000138e+00
1.336000999999999994e+00,1.151125587999999977e+00
1.351998999999999951e+00,1.151234665999999907e+00
1.368000000000000105e+00,1.151340945999999921e+00
1.384001000000000037e+00,1.151456280000000110e+00
1.399999999999999911e+00,1.151570417999999929e+00
1.415998000000000090e+00,1.151679571999999929e+00
1.432001999999999997e+00,1.151782282000000102e+00
1.447999999999999954e+00,1.151875274000000005e+00
1.464001000000000108e+00,1.151982129999999938e+00
1.480002000000000040e+00,1.152087116000000133e+00
1.496002999999999972e+00,1.152188298000000000e+00
1.511999000000000093e+00,1.152339788000000143e+00
1.528003000000000000e+00,1.152464026000000086e+00
1.543998999999999899e+00,1.152550558000000169e+00
1.560002000000000111e+00,1.152659613999999833e+00
1.576000999999999985e+00,1.152784864000000020e+00
1.592001999999999917e+00,1.152884256000000107e+00
1.608004999999999907e+00,1.152999540000000156e+00
1.623998999999999970e+00,1.153105554000000144e+00
1.639999999999999902e+00,1.153207832000000099e+00
1.656001000000000056e+00,1.153302928000000005e+00
1.672001999999999988e+00,1.153407581999999820e+00
1.687999999999999945e+00,1.153520652000000091e+00
1.704001000000000099e+00,1.153620065999999778e+00
1.719999999999999973e+00,1.153713728000000049e+00
1.736000999999999905e+00,1.153816471999999926e+00
1.751999000000000084e+00,1.153927937999999820e+00
1.768002999999999991e+00,1.154042149999999989e+00
1.784003999999999923e+00,1.154149486000000113e+00
