position,distance
9.999970000000000248e-01,1.149913313999999964e+00
1.015997999999999957e+00,1.150018352000000021e+00
1.032002000000000086e+00,1.150127515999999961e+00
1.047997999999999985e+00,1.150223474000000135e+00
1.063998999999999917e+00,1.150326079999999918e+00
1.080001999999999907e+00,1.150408791999999902e+00
1.096001000000000003e+00,1.150510246000000070e+00
1.112001999999999935e+00,1.150613899999999967e+00
1.127999999999999892e+00,1.150716723999999802e+00
1.144001000000000046e+00,1.150791066000000029e+00
1.159999999999999920e+00,1.150909712000000029e+00
1.176001000000000074e+00,1.151006993999999839e+00
1.192004000000000064e+00,1.151111801999999740e+00
1.207999999999999963e+00,1.151231309999999786e+00
1.224000999999999895e+00,1.151386493999999816e+00
1.239999999999999991e+00,1.151535616000000095e+00
1.255997999999999948e+00,1.151641812000000042e+00
1.272002000000000077e+00,1.151725537999999771e+00
1.288000000000000034e+00,1.151864264000000082e+00
1.303998999999999908e+00,1.151985282000000055e+00
1.320000000000000062e+00,1.152110729999999972e+00
1.336000999999999994e+00,1.152209953999999925e+00
1.351996999999999893e+00,1.152319739999999815e+00
1.368000000000000105e+00,1.152439068000000066e+00
1.384004000000000012e+00,1.152554203999999860e+00
1.399999999999999911e+00,1.152634280000000011e+00
1.416001000000000065e+00,1.152733044000000096e+00
1.432001999999999997e+00,1.152831713999999952e+00
1.447999999999999954e+00,1.152918278000000019e+00
1.464001000000000108e+00,1.153014894000000012e+00
1.480002000000000040e+00,1.153116230000000186e+00
1.496000999999999914e+00,1.153226886000000118e+00
1.511997000000000035e+00,1.153344031999999908e+00
1.528003000000000000e+00,1.153446113999999856e+00
1.544000999999999957e+00,1.153581013999999794e+00
1.560000000000000053e+00,1.153703355999999847e+00
1.576000999999999985e+00,1.153817638000000034e+00
1.591998999999999942e+00,1.153940195999999974e+00
1.608000000000000096e+00,1.154046641999999734e+00
1.624004000000000003e+00,1.154168802000000049e+00
1.640001999999999960e+00,1.154256847999999946e+00
1.656001000000000056e+00,1.154356586000000018e+00
1.671999000000000013e+00,1.154465991999999996e+00
1.688002999999999920e+00,1.154592115999999891e+00
1.704004000000000074e+00,1.154703325999999919e+00
1.719999999999999973e+00,1.154808024000000044e+00
1.736000999999999905e+00,1.154909806000000261e+00
1.752007000000000092e+00,1.155013371999999983e+00
1.768000000000000016e+00,1.155126908000000174e+00
1.784003999999999923e+00,1.155241628000000187e+00
