position,distance
1.000002000000000058e+00,1.148464871999999914e+00
1.015997999999999957e+00,1.148571479999999978e+00
1.031999000000000111e+00,1.148676698000000052e+00
1.048000000000000043e+00,1.148794543999999807e+00
1.064000999999999975e+00,1.148907902000000147e+00
1.080000000000000071e+00,1.149010034000000235e+00
1.095998000000000028e+00,1.149137902000000100e+00
1.111998999999999960e+00,1.149246870000000253e+00
1.127998000000000056e+00,1.149332510000000029e+00
1.144001000000000046e+00,1.149423078000000098e+00
1.160001999999999978e+00,1.149527459999999834e+00
1.176002999999999910e+00,1.149677950000000060e+00
1.192002000000000006e+00,1.149799763999999946e+00
1.207999999999999963e+00,1.149890488000000044e+00
1.224000999999999895e+00,1.149975489999999878e+00
1.239999999999999991e+00,1.150068856000000084e+00
1.256002999999999981e+00,1.150182848000000035e+00
1.272002000000000077e+00,1.150312369999999973e+00
1.288000000000000034e+00,1.150425384000000051e+00
1.304003999999999941e+00,1.150578964000000148e+00
1.320000000000000062e+00,1.150701682000000003e+00
1.335998000000000019e+00,1.150776140000000058e+00
1.352001999999999926e+00,1.150854949999999821e+00
1.368003000000000080e+00,1.150978564000000093e+00
1.384004000000000012e+00,1.151112234000000178e+00
1.399999999999999911e+00,1.151225772000000092e+00
1.415998000000000090e+00,1.151338777999999952e+00
1.432001999999999997e+00,1.151446541999999962e+00
1.447999999999999954e+00,1.151535920000000157e+00
1.463999000000000050e+00,1.151641978000000011e+00
1.479999999999999982e+00,1.151759857999999914e+00
1.496000999999999914e+00,1.151859238000000119e+00
1.512002000000000068e+00,1.151985301999999933e+00
1.528003000000000000e+00,1.152099272000000063e+00
1.543998999999999899e+00,1.152212334000000116e+00
1.560000000000000053e+00,1.152335786000000084e+00
1.576003000000000043e+00,1.152462046000000129e+00
1.591998999999999942e+00,1.152583236000000122e+00
1.608000000000000096e+00,1.152699414000000200e+00
1.623998999999999970e+00,1.152811942000000034e+00
1.639996999999999927e+00,1.152920337999999933e+00
1.655998000000000081e+00,1.153035773999999902e+00
1.671999000000000013e+00,1.153160352000000000e+00
1.688002999999999920e+00,1.153284635999999974e+00
1.704001000000000099e+00,1.153390064000000104e+00
1.720002000000000031e+00,1.153508506000000100e+00
1.736000999999999905e+00,1.153613072000000184e+00
1.751999000000000084e+00,1.153728161999999946e+00
1.768002999999999991e+00,1.153856508000000058e+00
1.783998999999999890e+00,1.153977368000000059e+00
