position,distance
1.100000000000000089e+00,8.619346999999999426e-01
1.110001000000000015e+00,8.503254059999999503e-01
1.120000000000000107e+00,2.900208759999999830e-01
1.130004000000000008e+00,6.893639599999998868e-01
1.139999999999999902e+00,8.914564040000000356e-01
1.149998999999999993e+00,8.932832380000000905e-01
1.159999999999999920e+00,9.220973459999999289e-01
1.170001000000000069e+00,8.931022550000000670e-01
1.180001999999999995e+00,9.424509039999999782e-01
1.190004000000000062e+00,9.532430359999999325e-01
1.199999999999999956e+00,9.636341099999998772e-01
1.209999000000000047e+00,9.617001840000000135e-01
1.220002000000000031e+00,9.828878180000000242e-01
1.229996000000000089e+00,9.289726520000000098e-01
1.240002000000000049e+00,8.958313733333334028e-01
1.250000999999999918e+00,9.940291039999997746e-01
1.260000000000000009e+00,1.022946247499999961e+00
1.270000999999999935e+00,1.002615194999999959e+00
1.280002000000000084e+00,1.044061235999999893e+00
1.290000999999999953e+00,1.054095305000000149e+00
1.300000000000000044e+00,1.034360782499999853e+00
1.309998999999999914e+00,1.057313479999999917e+00
1.320000000000000062e+00,1.025406713333333331e+00
1.330003999999999964e+00,4.768226099999999801e-01
1.340000000000000080e+00,9.498706759999999694e-01
1.450001000000000095e+00,1.215517350000000052e+00
1.459999999999999964e+00,9.860944460000000689e-01
1.470000999999999891e+00,1.235205337999999875e+00
1.479999999999999982e+00,1.244729265999999779e+00
1.490000999999999909e+00,1.254798483999999936e+00
1.500000000000000000e+00,1.264874069999999850e+00
1.509999000000000091e+00,1.275743297999999859e+00
1.519997000000000043e+00,1.266237609999999902e+00
1.530003999999999920e+00,1.296186484000000139e+00
1.540002000000000093e+00,1.305679652000000024e+00
1.550000999999999962e+00,1.315691609999999789e+00
1.560000000000000053e+00,1.325232521999999857e+00
1.570000999999999980e+00,1.335373970000000021e+00
1.579997000000000096e+00,1.345397826000000130e+00
1.589998999999999940e+00,1.356293404000000091e+00
1.600001999999999924e+00,1.366542774000000016e+00
1.609998999999999958e+00,1.376549736000000079e+00
1.620000000000000107e+00,1.385968794000000059e+00
1.629998999999999976e+00,1.396080208000000100e+00
1.640001999999999960e+00,1.405680723999999993e+00
1.650001000000000051e+00,1.415849142000000116e+00
1.659996999999999945e+00,1.426172567999999918e+00
1.669996000000000036e+00,1.436980898000000284e+00
1.680001999999999995e+00,1.429046335999999862e+00
1.689999000000000029e+00,1.456812465999999917e+00
