position,distance
1.000000000000000000e+00,1.149264057999999977e+00
1.016000999999999932e+00,1.149372859999999941e+00
1.032003999999999921e+00,1.149505367999999805e+00
1.047997999999999985e+00,1.149613685999999912e+00
1.064000999999999975e+00,1.149692012000000263e+00
1.080001999999999907e+00,1.149784912000000103e+00
1.096001000000000003e+00,1.149884777999999885e+00
1.111998999999999960e+00,1.150021218000000234e+00
1.128003000000000089e+00,1.150116678000000281e+00
1.144001000000000046e+00,1.150201725999999924e+00
1.160001999999999978e+00,1.150302015999999927e+00
1.176001000000000074e+00,1.150428197999999957e+00
1.191999000000000031e+00,1.150554131999999896e+00
1.207997999999999905e+00,1.150674237999999905e+00
1.224000999999999895e+00,1.150816598000000024e+00
1.239997000000000016e+00,1.150931069999999945e+00
1.256002999999999981e+00,1.151034844000000223e+00
1.272002000000000077e+00,1.151184211999999984e+00
1.288000000000000034e+00,1.151269721999999884e+00
1.303998999999999908e+00,1.151335022000000041e+00
1.320000000000000062e+00,1.151483222000000195e+00
1.336000999999999994e+00,1.151687895999999878e+00
1.351998999999999951e+00,1.151802627999999995e+00
1.368000000000000105e+00,1.151923418000000199e+00
1.384001000000000037e+00,1.152049965999999870e+00
1.399999999999999911e+00,1.152135404000000030e+00
1.416002999999999901e+00,1.152241193999999913e+00
1.432001999999999997e+00,1.152340467999999785e+00
1.447999999999999954e+00,1.152443848000000104e+00
1.464001000000000108e+00,1.152524859999999984e+00
1.479999999999999982e+00,1.152639516000000253e+00
1.496000999999999914e+00,1.152748089999999781e+00
1.511997000000000035e+00,1.152877579999999957e+00
1.528003000000000000e+00,1.152986464000000044e+00
1.544003999999999932e+00,1.153090499999999796e+00
1.560005000000000086e+00,1.153207075999999942e+00
1.576000999999999985e+00,1.153298299999999887e+00
1.592001999999999917e+00,1.153440983999999947e+00
1.608003000000000071e+00,1.153533978000000015e+00
1.624001000000000028e+00,1.153637084000000090e+00
1.639999999999999902e+00,1.153738283999999892e+00
1.656001000000000056e+00,1.153833529999999996e+00
1.672001999999999988e+00,1.153945370000000192e+00
1.687999999999999945e+00,1.154064556000000019e+00
1.703999000000000041e+00,1.154096540000000060e+00
1.720002000000000031e+00,1.154193604000000040e+00
1.736000999999999905e+00,1.154298137999999918e+00
1.751999000000000084e+00,1.154414996000000304e+00
1.768002999999999991e+00,1.154534576000000090e+00
1.784000999999999948e+00,1.154653298000000161e+00
