position,distance
1.100000000000000089e+00,6.920612179999999780e-01
1.120001999999999942e+00,4.446446840000000122e-01
1.139999999999999902e+00,7.251792459999999441e-01
1.160001999999999978e+00,7.429396419999999557e-01
1.179999999999999938e+00,6.678771439999999782e-01
1.200002000000000013e+00,7.932959979999999467e-01
1.219999999999999973e+00,8.134436224999999077e-01
1.239999999999999991e+00,7.837477400000000261e-01
1.260002000000000066e+00,8.528019319999999848e-01
1.280002000000000084e+00,8.739717324999999315e-01
1.300002000000000102e+00,8.434072539999999396e-01
1.319997000000000087e+00,8.837235399999999741e-01
1.340000000000000080e+00,8.084573400000000243e-01
1.360000000000000098e+00,9.552916360000001106e-01
1.379995000000000083e+00,6.357647939999999664e-01
1.399995000000000100e+00,4.416182359999999418e-01
1.419999999999999929e+00,8.917421759999999420e-01
1.440002000000000004e+00,1.035509419999999903e+00
1.459999999999999964e+00,1.039574353999999756e+00
1.479999999999999982e+00,1.074757066000000094e+00
1.500002000000000058e+00,1.095072928000000001e+00
1.519997000000000043e+00,1.107421699999999953e+00
1.540000000000000036e+00,1.135600630000000111e+00
1.559997000000000078e+00,1.155506820000000046e+00
1.579997000000000096e+00,1.175581083999999832e+00
