position,distance
1.100000000000000089e+00,8.619123460000001069e-01
1.112996000000000096e+00,3.361390199999999551e-01
1.126001999999999947e+00,8.437114879999999539e-01
1.138997999999999955e+00,9.014460300000000093e-01
1.152001999999999970e+00,9.032168600000000103e-01
1.164997999999999978e+00,9.270152839999999950e-01
1.178001999999999994e+00,9.287230880000001410e-01
1.191000000000000059e+00,9.226286979999999138e-01
1.204001000000000099e+00,9.674442020000000308e-01
1.216998000000000024e+00,9.598447433333333612e-01
1.230000999999999900e+00,9.564237700000000064e-01
1.243001999999999940e+00,9.808109999999998774e-01
1.256000999999999923e+00,9.627639974999999684e-01
1.268996999999999931e+00,1.020063531999999995e+00
1.282000999999999946e+00,1.035983450000000028e+00
1.294999000000000011e+00,1.058622527999999896e+00
1.307997999999999994e+00,1.041244137999999930e+00
1.321002000000000010e+00,6.792219940000000511e-01
1.334000000000000075e+00,1.097183205999999966e+00
1.347000999999999893e+00,4.419411100000000259e-01
1.450001000000000095e+00,9.659428439999999672e-01
1.463000000000000078e+00,1.228075877999999843e+00
1.476000999999999896e+00,1.094926673999999878e+00
1.489001999999999937e+00,1.253803956000000053e+00
1.501997999999999944e+00,1.254505546000000082e+00
1.515001999999999960e+00,1.280931086000000274e+00
1.527997999999999967e+00,1.293963401999999929e+00
1.540999000000000008e+00,1.306601495999999862e+00
1.554000000000000048e+00,1.319292438000000178e+00
1.567001000000000088e+00,1.332322685999999923e+00
1.580001999999999907e+00,1.345329487999999962e+00
1.592999000000000054e+00,1.359359625999999821e+00
1.605996999999999897e+00,1.372412380000000098e+00
1.619000999999999912e+00,1.385075204000000060e+00
1.632001999999999953e+00,1.397997188000000168e+00
1.644994999999999985e+00,1.379107419999999973e+00
1.658004000000000033e+00,1.423824189999999934e+00
1.670997999999999983e+00,1.437825238000000061e+00
1.684001000000000081e+00,1.450968283999999997e+00
1.697000000000000064e+00,1.463497543999999762e+00
