position,distance
1.100000000000000089e+00,8.468632639999998934e-01
1.110001000000000015e+00,8.541489549999999875e-01
1.119996999999999909e+00,2.817099659999999783e-01
1.129998999999999976e+00,8.851422960000000506e-01
1.139996999999999927e+00,8.446796525000000999e-01
1.150001000000000051e+00,9.124418980000001955e-01
1.159996999999999945e+00,9.137853460000000538e-01
1.170001000000000069e+00,9.325261633333333799e-01
1.180001999999999995e+00,9.338638539999999377e-01
1.189999000000000029e+00,9.412943900000000363e-01
1.199999999999999956e+00,8.760946879999998993e-01
1.209999000000000047e+00,9.732861920000001055e-01
1.219999999999999973e+00,9.829519380000000250e-01
1.229999000000000065e+00,9.929212699999998559e-01
1.239999999999999991e+00,9.933116679999999254e-01
1.249999000000000082e+00,9.093839425000000976e-01
1.260000000000000009e+00,1.022626947999999869e+00
1.269999000000000100e+00,1.033711269999999960e+00
1.280002000000000084e+00,1.043902367999999914e+00
1.290000999999999953e+00,1.021566992499999937e+00
1.499997000000000025e+00,1.264803426000000064e+00
1.510000999999999927e+00,1.275754106000000165e+00
1.520000000000000018e+00,1.286058287999999994e+00
1.530005999999999977e+00,1.296081542000000031e+00
1.540000000000000036e+00,1.305487332000000000e+00
1.549998999999999905e+00,1.315564155999999985e+00
1.559997000000000078e+00,1.325118432000000013e+00
1.569995999999999947e+00,1.335331199999999940e+00
1.579997000000000096e+00,1.345305039999999952e+00
1.590000999999999998e+00,1.356114311999999877e+00
1.600000000000000089e+00,1.366304876000000057e+00
1.610001000000000015e+00,1.376168931999999900e+00
1.620000000000000107e+00,1.385982092000000110e+00
1.629998999999999976e+00,1.396098019999999718e+00
1.639999999999999902e+00,1.405560876000000015e+00
1.649998999999999993e+00,1.415554047999999954e+00
1.659999999999999920e+00,1.425696114000000181e+00
1.669999000000000011e+00,1.436408682000000159e+00
1.679999999999999938e+00,1.446848440000000124e+00
1.689999000000000029e+00,1.456917605999999976e+00
