position,distance
1.000005000000000033e+00,1.149688330000000036e+00
1.015997999999999957e+00,1.149831197999999777e+00
1.031999000000000111e+00,1.149949509999999897e+00
1.048000000000000043e+00,1.150051742000000043e+00
1.063998999999999917e+00,1.150169518000000002e+00
1.080001999999999907e+00,1.150285957999999997e+00
1.096003000000000061e+00,1.150356931999999999e+00
1.112001999999999935e+00,1.150442723999999917e+00
1.128003000000000089e+00,1.150545096000000100e+00
1.144001000000000046e+00,1.150558484000000048e+00
1.159999999999999920e+00,1.150668715999999758e+00
1.176001000000000074e+00,1.150806854000000046e+00
1.192002000000000006e+00,1.150997761999999813e+00
1.208004999999999995e+00,1.151111533999999992e+00
1.224004000000000092e+00,1.151239309999999794e+00
1.239997000000000016e+00,1.151370079999999962e+00
1.255997999999999948e+00,1.151474110000000106e+00
1.272002000000000077e+00,1.151630560000000081e+00
1.288000000000000034e+00,1.151750183999999955e+00
1.303998999999999908e+00,1.151877315999999762e+00
1.320001999999999898e+00,1.151994262000000102e+00
1.336000999999999994e+00,1.152062597999999882e+00
1.352001999999999926e+00,1.152193808000000264e+00
1.368000000000000105e+00,1.152307323999999911e+00
1.383998999999999979e+00,1.152427467999999955e+00
1.399999999999999911e+00,1.152535081999999766e+00
1.416002999999999901e+00,1.152637388000000040e+00
1.432001999999999997e+00,1.152769549999999921e+00
1.447997999999999896e+00,1.152867043999999952e+00
1.464001000000000108e+00,1.152941978000000089e+00
1.480005000000000015e+00,1.153045247999999967e+00
1.496000999999999914e+00,1.153168159999999887e+00
1.512002000000000068e+00,1.153277917999999902e+00
1.527997999999999967e+00,1.153403289999999970e+00
1.543998999999999899e+00,1.153485971999999915e+00
1.559997000000000078e+00,1.153602339999999948e+00
1.576000999999999985e+00,1.153720094000000085e+00
1.591998999999999942e+00,1.153826474000000157e+00
1.608000000000000096e+00,1.153962814000000225e+00
1.624001000000000028e+00,1.154077741999999906e+00
1.639999999999999902e+00,1.154219317999999994e+00
1.656002999999999892e+00,1.154315476000000062e+00
1.672001999999999988e+00,1.154415887999999946e+00
1.688002999999999920e+00,1.154531959999999913e+00
1.704001000000000099e+00,1.154552280000000097e+00
1.719999999999999973e+00,1.154614054000000056e+00
1.736002999999999963e+00,1.154736340000000139e+00
1.752002000000000059e+00,1.154939359999999748e+00
1.767997999999999958e+00,1.155048520000000023e+00
1.784003999999999923e+00,1.155161309999999997e+00
