position,distance
1.099996999999999892e+00,6.902390539999998520e-01
1.120001999999999942e+00,4.444530720000000601e-01
1.139999999999999902e+00,7.172382349999999462e-01
1.159999999999999920e+00,7.412944379999999445e-01
1.179996999999999963e+00,7.382180480000000156e-01
1.199999999999999956e+00,7.694994459999999759e-01
1.219999999999999973e+00,8.112961619999999874e-01
1.239999999999999991e+00,8.309533459999999261e-01
1.260000000000000009e+00,8.338247679999998274e-01
1.280000000000000027e+00,8.724018799999999629e-01
1.300000000000000044e+00,8.919614449999999639e-01
1.319997000000000087e+00,5.518826420000000343e-01
1.340000000000000080e+00,8.807880399999999943e-01
1.360001999999999933e+00,9.540094680000000826e-01
1.379999999999999893e+00,5.430351239999999802e-01
1.400001999999999969e+00,4.561654320000000373e-01
1.420001999999999986e+00,7.469535820000000603e-01
1.440002000000000004e+00,1.033995497999999902e+00
1.460002000000000022e+00,1.053656125999999915e+00
1.479999999999999982e+00,1.073180298000000032e+00
1.500000000000000000e+00,1.093393422000000115e+00
1.520000000000000018e+00,1.114668922499999937e+00
1.540000000000000036e+00,1.134265308000000028e+00
1.560002000000000111e+00,1.153827012000000041e+00
1.580000000000000071e+00,1.174077044000000125e+00
