position,distance
1.000002000000000058e+00,1.148853644000000118e+00
1.016002999999999989e+00,1.148966541999999924e+00
1.032002000000000086e+00,1.149093467999999785e+00
1.048000000000000043e+00,1.149206101999999952e+00
1.064000999999999975e+00,1.149311146000000061e+00
1.080000000000000071e+00,1.149428136000000045e+00
1.096001000000000003e+00,1.149528746000000101e+00
1.111996999999999902e+00,1.149631974000000056e+00
1.127999999999999892e+00,1.149727026000000096e+00
1.144004000000000021e+00,1.149824868000000055e+00
1.160001999999999978e+00,1.149919319999999967e+00
1.175998000000000099e+00,1.150024874000000086e+00
1.192002000000000006e+00,1.150141937999999975e+00
1.208002999999999938e+00,1.150274527999999963e+00
1.223999000000000059e+00,1.150405742000000009e+00
1.240005000000000024e+00,1.150508993999999952e+00
1.256000999999999923e+00,1.150623506000000074e+00
1.272002000000000077e+00,1.150723399999999952e+00
1.288000000000000034e+00,1.150751646000000017e+00
1.304000999999999966e+00,1.150955885999999762e+00
1.320000000000000062e+00,1.151072939999999933e+00
1.335998000000000019e+00,1.151165492000000068e+00
1.352001999999999926e+00,1.151267747999999980e+00
1.368000000000000105e+00,1.151338222000000133e+00
1.384001000000000037e+00,1.151450877999999900e+00
1.399999999999999911e+00,1.151559481999999912e+00
1.415998000000000090e+00,1.151660514000000024e+00
1.432004000000000055e+00,1.151799162000000099e+00
1.447999999999999954e+00,1.151899911999999970e+00
1.463996000000000075e+00,1.152004924000000097e+00
1.480002000000000040e+00,1.152096641999999838e+00
1.496005999999999947e+00,1.152218218000000238e+00
1.512002000000000068e+00,1.152325566000000023e+00
1.528003000000000000e+00,1.152415648000000070e+00
1.544003999999999932e+00,1.152488704000000030e+00
1.560000000000000053e+00,1.152603763999999975e+00
1.575998000000000010e+00,1.152707163999999951e+00
1.591998999999999942e+00,1.152813387999999772e+00
1.608003000000000071e+00,1.152927364000000177e+00
1.623998999999999970e+00,1.153036021999999994e+00
1.639999999999999902e+00,1.153131719999999971e+00
1.656002999999999892e+00,1.153237147999999879e+00
1.671999000000000013e+00,1.153381076000000061e+00
1.687999999999999945e+00,1.153490673999999716e+00
1.704001000000000099e+00,1.153584769999999926e+00
1.720002000000000031e+00,1.153677414000000123e+00
1.736002999999999963e+00,1.153778383999999768e+00
1.752002000000000059e+00,1.153892491999999992e+00
1.767997999999999958e+00,1.154003231999999990e+00
1.784003999999999923e+00,1.154126528000000151e+00
