position,distance
9.999970000000000248e-01,1.148873974000000020e+00
1.015997999999999957e+00,1.148982136000000098e+00
1.031997000000000053e+00,1.149086196000000060e+00
1.048000000000000043e+00,1.149199191999999980e+00
1.064000999999999975e+00,1.149303595999999983e+00
1.080000000000000071e+00,1.149404909999999891e+00
1.096001000000000003e+00,1.149514514000000265e+00
1.112003999999999992e+00,1.149639284000000039e+00
1.127998000000000056e+00,1.149733884000000206e+00
1.143998999999999988e+00,1.149822802000000088e+00
1.160001999999999978e+00,1.149936116000000119e+00
1.176002999999999910e+00,1.150079136000000002e+00
1.191999000000000031e+00,1.150201025999999960e+00
1.207999999999999963e+00,1.150309622000000198e+00
1.224000999999999895e+00,1.150446742000000189e+00
1.239999999999999991e+00,1.150530500000000123e+00
1.255997999999999948e+00,1.150635301999999971e+00
1.272002000000000077e+00,1.150765707999999998e+00
1.288000000000000034e+00,1.150884723999999970e+00
1.304000999999999966e+00,1.150987603999999997e+00
1.320000000000000062e+00,1.151107216000000211e+00
1.336000999999999994e+00,1.151212418000000071e+00
1.352001999999999926e+00,1.151332357999999889e+00
1.368000000000000105e+00,1.151446996000000222e+00
1.383998999999999979e+00,1.151569076000000136e+00
1.399996999999999936e+00,1.151649372000000060e+00
1.416002999999999901e+00,1.151737475999999871e+00
1.432001999999999997e+00,1.151869526000000032e+00
1.448002999999999929e+00,1.151943393999999898e+00
1.464001000000000108e+00,1.152038805999999749e+00
1.480002000000000040e+00,1.152157595999999895e+00
1.496002999999999972e+00,1.152269259999999962e+00
1.512002000000000068e+00,1.152371330000000027e+00
1.527997999999999967e+00,1.152444743999999854e+00
1.544000999999999957e+00,1.152568521999999929e+00
1.560000000000000053e+00,1.152682344000000025e+00
1.575998000000000010e+00,1.152800350000000140e+00
1.591998999999999942e+00,1.152904323999999869e+00
1.608003000000000071e+00,1.153015426000000065e+00
1.623998999999999970e+00,1.153120099999999981e+00
1.639999999999999902e+00,1.153228812000000048e+00
1.656001000000000056e+00,1.153333190000000119e+00
1.672001999999999988e+00,1.153458533999999869e+00
1.688002999999999920e+00,1.153570906000000118e+00
1.704001000000000099e+00,1.153663741999999992e+00
1.719999999999999973e+00,1.153761912000000001e+00
1.736002999999999963e+00,1.153861728000000086e+00
1.752002000000000059e+00,1.153975632000000084e+00
1.768000000000000016e+00,1.154111964000000157e+00
1.783998999999999890e+00,1.154244708000000008e+00
