position,distance
1.099996999999999892e+00,8.617376279999999777e-01
1.109998999999999958e+00,8.727353159999999832e-01
1.120000000000000107e+00,2.740705159999999863e-01
1.129998999999999976e+00,7.155339079999999408e-01
1.139996999999999927e+00,9.023517279999999641e-01
1.150001000000000051e+00,9.125099399999999639e-01
1.160004999999999953e+00,9.060648620000000264e-01
1.170004000000000044e+00,9.182387499999999925e-01
1.179999999999999938e+00,9.420929040000001198e-01
1.189999000000000029e+00,9.442069719999999222e-01
1.199999999999999956e+00,9.283583039999999675e-01
1.210001000000000104e+00,9.732266779999999562e-01
1.219999999999999973e+00,9.586960720000000657e-01
1.230000999999999900e+00,9.653438300000001249e-01
1.239999999999999991e+00,9.680661324999999540e-01
1.250000999999999918e+00,9.125193420000000666e-01
1.260000000000000009e+00,1.022602079999999969e+00
1.269999000000000100e+00,1.033543627999999881e+00
1.280002000000000084e+00,1.043808857999999784e+00
1.289998999999999896e+00,1.053843110000000083e+00
1.500000000000000000e+00,1.264776953999999787e+00
1.509999000000000091e+00,1.275533033999999954e+00
1.520000000000000018e+00,1.260128788000000055e+00
1.530000999999999944e+00,1.295565848000000075e+00
1.540002000000000093e+00,1.305314928000000041e+00
1.550000999999999962e+00,1.315384245999999813e+00
1.560000000000000053e+00,1.325000740000000121e+00
1.569998999999999922e+00,1.335085706666666816e+00
1.580000000000000071e+00,1.345104527999999799e+00
1.589998999999999940e+00,1.355896321999999987e+00
1.599996999999999892e+00,1.349322937999999805e+00
1.609995999999999983e+00,1.376349047999999797e+00
1.619996999999999909e+00,1.385868162000000181e+00
1.629998999999999976e+00,1.395672820000000147e+00
1.639996999999999927e+00,1.405168589999999940e+00
1.649998999999999993e+00,1.415463844000000027e+00
1.659999999999999920e+00,1.425728283999999846e+00
1.670001000000000069e+00,1.436521335999999760e+00
1.679996999999999963e+00,1.446588874000000136e+00
1.689999000000000029e+00,1.456774179999999808e+00
