position,distance
1.100000000000000089e+00,8.618657499999999860e-01
1.111998999999999960e+00,2.761440400000000350e-01
1.123998999999999970e+00,8.870564260000000090e-01
1.136001000000000039e+00,8.668498740000000202e-01
1.147999999999999909e+00,8.661773200000000283e-01
1.160001999999999978e+00,9.221232260000000736e-01
1.172001999999999988e+00,9.134796700000000769e-01
1.183999000000000024e+00,8.966566240000000132e-01
1.196001000000000092e+00,9.592684849999999486e-01
1.207999999999999963e+00,9.416572174999999767e-01
1.219999999999999973e+00,9.828200999999999743e-01
1.231997000000000009e+00,9.949799919999999798e-01
1.244004000000000110e+00,9.764395400000001057e-01
1.256000999999999923e+00,1.006271460000000229e+00
1.268000000000000016e+00,1.006467114000000107e+00
1.280005000000000059e+00,1.032639281999999881e+00
1.291998999999999898e+00,1.055935191999999967e+00
1.304000999999999966e+00,9.801618133333332983e-01
1.316003000000000034e+00,1.079286060000000047e+00
1.327998000000000012e+00,2.691850060000000044e-01
1.340000000000000080e+00,3.321609339999999633e-01
1.351996999999999893e+00,9.833340820000000537e-01
1.364001000000000019e+00,1.129345208000000156e+00
1.376001000000000030e+00,1.107877128000000155e+00
1.387995000000000090e+00,9.213230239999999904e-01
1.399996999999999936e+00,6.941674239999999774e-01
1.411999000000000004e+00,8.821400419999999576e-01
1.423996000000000040e+00,5.216182500000000610e-01
1.435998000000000108e+00,1.201518802000000052e+00
1.447997999999999896e+00,1.201794548000000074e+00
1.459999999999999964e+00,1.165229340000000002e+00
1.471999000000000057e+00,1.236895137999999950e+00
1.483999000000000068e+00,1.248762492000000002e+00
1.495997999999999939e+00,1.260443933999999988e+00
1.507997999999999950e+00,1.273582781999999858e+00
1.520000000000000018e+00,1.247551698000000098e+00
1.531999000000000111e+00,1.297808062000000096e+00
1.543998999999999899e+00,1.293424209999999963e+00
1.555997999999999992e+00,1.321250374000000116e+00
1.567998000000000003e+00,1.316502366000000146e+00
1.579997000000000096e+00,1.345345956000000065e+00
1.591998999999999942e+00,1.309202776000000013e+00
1.603998999999999953e+00,1.370316369999999839e+00
1.615998000000000046e+00,1.365062226000000045e+00
1.627995000000000081e+00,1.394061090000000114e+00
1.639999999999999902e+00,1.405392541999999967e+00
1.651996999999999938e+00,1.417491575999999975e+00
1.663999000000000006e+00,1.430024289999999976e+00
1.675998000000000099e+00,1.442768371999999744e+00
1.687998000000000109e+00,1.454762562000000203e+00
