position,distance
1.100000000000000089e+00,8.618859679999999468e-01
1.112997999999999932e+00,3.141586920000000172e-01
1.126001999999999947e+00,8.750970024999999985e-01
1.139000999999999930e+00,8.854634219999999445e-01
1.152001999999999970e+00,9.144522240000000357e-01
1.165003000000000011e+00,9.073766040000000865e-01
1.177999000000000018e+00,9.402164720000000253e-01
1.191000000000000059e+00,9.424067300000000813e-01
1.204001000000000099e+00,9.674294140000000430e-01
1.217000000000000082e+00,9.403710966666666282e-01
1.229996000000000089e+00,9.379799899999999857e-01
1.243000000000000105e+00,1.005613397999999936e+00
1.256000999999999923e+00,9.845189540000000017e-01
1.268999999999999906e+00,1.019569877999999985e+00
1.281997999999999971e+00,1.007077774000000092e+00
1.295001999999999986e+00,1.026089062500000093e+00
1.308000000000000052e+00,1.071553552499999951e+00
1.320999000000000034e+00,6.792590924999999391e-01
1.334000000000000075e+00,1.042685319999999916e+00
1.347004000000000090e+00,5.994665133333333396e-01
1.450001000000000095e+00,1.203612051999999988e+00
1.462997000000000103e+00,9.644291020000000936e-01
1.475997999999999921e+00,1.155716411999999860e+00
1.488998999999999961e+00,1.238376167999999833e+00
1.501997999999999944e+00,1.266926988000000032e+00
1.514998999999999985e+00,1.280871695999999949e+00
1.528000000000000025e+00,1.293975341999999973e+00
1.540996999999999950e+00,1.306651094999999874e+00
1.554000000000000048e+00,1.319251788000000092e+00
1.567004000000000064e+00,1.332228111999999909e+00
1.580000000000000071e+00,1.345306710000000017e+00
1.593000999999999889e+00,1.359405118000000190e+00
1.605996999999999897e+00,1.372435202000000132e+00
1.618997999999999937e+00,1.385128915999999988e+00
1.631998999999999977e+00,1.398245814000000253e+00
1.645000000000000018e+00,1.410756815999999914e+00
1.657999000000000001e+00,1.423685719999999932e+00
1.671000000000000041e+00,1.437867169999999861e+00
1.684004000000000056e+00,1.450877287999999821e+00
1.697000000000000064e+00,1.463463624000000074e+00
