position,distance
1.000000000000000000e+00,7.614967879999999800e-01
1.015997999999999957e+00,7.484667600000000087e-01
1.031999000000000111e+00,7.813646380000000002e-01
1.047997999999999985e+00,8.102945540000000557e-01
1.064003999999999950e+00,8.258524120000000357e-01
1.080000000000000071e+00,8.415701220000000315e-01
1.096001000000000003e+00,2.784184880000000195e-01
1.112006999999999968e+00,8.295017019999999519e-01
1.127998000000000056e+00,8.600730560000000580e-01
1.144001000000000046e+00,9.062681839999999767e-01
1.160001999999999978e+00,9.219009039999999100e-01
1.175998000000000099e+00,9.035537333333333310e-01
1.192004000000000064e+00,9.257746949999999808e-01
1.207997999999999905e+00,9.593610360000000004e-01
1.224000999999999895e+00,9.748383640000000128e-01
1.240002000000000049e+00,9.903296999999999795e-01
1.256002999999999981e+00,1.004072166666666766e+00
1.271999000000000102e+00,1.035572822000000004e+00
1.288000000000000034e+00,1.051770313999999873e+00
1.303998999999999908e+00,1.028130049999999907e+00
1.319997000000000087e+00,9.516243680000000538e-01
1.336000999999999994e+00,1.099323746000000046e+00
1.351998999999999951e+00,1.084526639999999986e+00
1.368000000000000105e+00,1.132977196000000131e+00
1.384001000000000037e+00,1.148600467999999930e+00
1.399999999999999911e+00,8.732065739999999021e-01
1.416001000000000065e+00,1.180392263999999969e+00
1.432001999999999997e+00,1.183279430000000243e+00
1.447999999999999954e+00,1.213278309999999749e+00
1.463999000000000050e+00,1.180935960000000007e+00
1.479999999999999982e+00,1.244562335999999991e+00
1.496000999999999914e+00,1.185918371999999943e+00
1.512002000000000068e+00,1.277660866000000173e+00
1.528003000000000000e+00,1.293909902000000001e+00
1.544000999999999957e+00,1.309546074000000004e+00
1.560002000000000111e+00,1.325096545999999931e+00
1.576003000000000043e+00,1.341111382000000019e+00
1.591998999999999942e+00,1.358076073999999966e+00
1.608000000000000096e+00,1.374147333999999887e+00
1.624001000000000028e+00,1.389799233999999828e+00
1.640001999999999960e+00,1.405301263999999994e+00
1.656006000000000089e+00,1.421341719999999809e+00
1.671999000000000013e+00,1.438653589999999927e+00
1.688004999999999978e+00,1.454746323999999813e+00
1.704001000000000099e+00,1.470146391999999969e+00
1.719999999999999973e+00,1.485906090000000068e+00
1.736000999999999905e+00,1.482894863999999924e+00
1.752003999999999895e+00,1.519076687999999953e+00
1.768002999999999991e+00,1.535054743999999971e+00
1.783998999999999890e+00,1.550591796000000189e+00
