position,distance
1.600000000000000089e+00,1.045416983999999827e+00
1.611996999999999902e+00,1.045499359999999989e+00
1.624001999999999946e+00,1.045569568000000116e+00
1.636001000000000039e+00,1.045655881999999703e+00
1.647998000000000074e+00,1.045730486000000070e+00
1.659999999999999920e+00,1.045813262000000021e+00
1.672004000000000046e+00,1.045897496000000038e+00
1.684001000000000081e+00,1.045950181999999895e+00
1.696001000000000092e+00,1.046026687999999982e+00
1.707999999999999963e+00,1.046162074000000164e+00
1.719996999999999998e+00,1.046257488000000180e+00
1.731999000000000066e+00,1.046321353999999815e+00
1.744000999999999912e+00,1.046372443999999957e+00
1.755997999999999948e+00,1.046452868000000036e+00
1.768000000000000016e+00,1.046547742000000003e+00
1.780000000000000027e+00,1.046640674000000049e+00
1.792002000000000095e+00,1.046754705999999979e+00
1.803995999999999933e+00,1.046856450000000160e+00
1.816000999999999976e+00,1.046950669999999972e+00
1.827998000000000012e+00,1.047024710000000081e+00
1.840001999999999915e+00,1.047088169999999874e+00
1.852003999999999984e+00,1.047172934000000000e+00
1.864001000000000019e+00,1.047307347999999916e+00
1.875998000000000054e+00,1.047407948000000033e+00
1.887998000000000065e+00,1.047423309999999885e+00
1.899999999999999911e+00,1.047352912000000025e+00
1.915996000000000032e+00,1.047524373999999980e+00
1.932001999999999997e+00,1.047701351999999808e+00
1.947999999999999954e+00,1.047828795999999896e+00
1.963999000000000050e+00,1.047946341999999920e+00
1.979999999999999982e+00,1.048058820000000058e+00
1.996000999999999914e+00,1.048173757999999900e+00
2.011997000000000035e+00,1.048293136000000292e+00
2.027998000000000189e+00,1.048465847999999978e+00
2.043998999999999899e+00,1.051189025999999860e+00
2.060000000000000053e+00,1.055082424000000074e+00
2.075997999999999788e+00,1.056275429999999904e+00
2.092000000000000082e+00,1.058396067499999926e+00
2.107995999999999981e+00,1.036322536000000127e+00
2.123995999999999995e+00,1.060843468000000067e+00
2.140001999999999960e+00,1.056647459999999983e+00
2.155996000000000024e+00,9.413701939999998825e-01
2.171999000000000013e+00,1.052710029999999852e+00
2.188000000000000167e+00,1.029957170000000088e+00
2.203999000000000041e+00,1.056140728000000140e+00
2.220000000000000195e+00,1.054395921999999874e+00
2.236000999999999905e+00,1.053929874000000044e+00
2.251999000000000084e+00,1.054544546000000027e+00
2.267997999999999958e+00,1.528388400000000036e-01
2.283999000000000112e+00,1.821530399999999883e-01
