position,distance
1.000000000000000000e+00,1.147896289999999819e+00
1.016000999999999932e+00,1.148010287999999823e+00
1.031999000000000111e+00,1.148147787999999947e+00
1.048003000000000018e+00,1.148270278000000033e+00
1.063998999999999917e+00,1.148379525999999817e+00
1.080000000000000071e+00,1.148481788000000003e+00
1.096001000000000003e+00,1.148591507999999983e+00
1.111996999999999902e+00,1.148696390000000012e+00
1.127999999999999892e+00,1.148789301999999957e+00
1.144001000000000046e+00,1.148891620000000113e+00
1.160001999999999978e+00,1.148997678000000189e+00
1.176001000000000074e+00,1.149115237999999817e+00
1.191999000000000031e+00,1.149240224000000143e+00
1.207999999999999963e+00,1.149356473999999739e+00
1.223999000000000059e+00,1.149474676000000084e+00
1.240002000000000049e+00,1.149590668000000093e+00
1.256000999999999923e+00,1.149717495999999839e+00
1.272002000000000077e+00,1.149852005999999927e+00
1.288000000000000034e+00,1.149967530000000071e+00
1.304003999999999941e+00,1.150094596000000191e+00
1.320001999999999898e+00,1.150217446000000310e+00
1.336000999999999994e+00,1.150325830000000105e+00
1.352003999999999984e+00,1.150441983999999973e+00
1.368003000000000080e+00,1.150561155999999752e+00
1.383998999999999979e+00,1.150677776000000208e+00
1.399999999999999911e+00,1.150782533999999968e+00
1.416001000000000065e+00,1.150899559999999822e+00
1.432004000000000055e+00,1.151013512000000016e+00
1.448002999999999929e+00,1.151093796000000058e+00
1.464001000000000108e+00,1.151178876000000129e+00
1.480002000000000040e+00,1.151284957999999969e+00
1.496002999999999972e+00,1.151396816000000101e+00
1.511999000000000093e+00,1.151522720000000000e+00
1.528000000000000025e+00,1.151628860000000198e+00
1.544000999999999957e+00,1.151733679999999982e+00
1.560002000000000111e+00,1.151848524000000040e+00
1.576003000000000043e+00,1.151966900000000127e+00
1.592001999999999917e+00,1.152078678000000078e+00
1.608000000000000096e+00,1.152185169999999870e+00
1.624006000000000061e+00,1.152291762000000164e+00
1.640001999999999960e+00,1.152404952000000149e+00
1.656001000000000056e+00,1.152509890000000148e+00
1.672004000000000046e+00,1.152621727999999957e+00
1.688002999999999920e+00,1.152732353999999848e+00
1.703999000000000041e+00,1.152825243999999971e+00
1.719999999999999973e+00,1.152919896000000000e+00
1.736000999999999905e+00,1.153017119999999895e+00
1.751999000000000084e+00,1.153125007999999951e+00
1.768002999999999991e+00,1.153238100000000044e+00
1.784000999999999948e+00,1.153347520000000070e+00
